Company Name,Ticker,Sector
Ramkrishna Forgings Limited,RKFORGE,Auto Components & Equipments
Go Digit General Insurance Limited,GODIGIT,General Insurance
Indegene Limited,INDGN,Healthcare Research Analytics & Technology
Elgi Equipments Limited,ELGIEQUIP,Compressors Pumps & Diesel Engines
Procter & Gamble Hygiene and Health Care Limited,PGHH,Personal Care
Punjab National Bank,PNB,Public Sector Bank
Jio Financial Services Limited,JIOFIN,Investment Company
Jindal Stainless Limited,JSL,Iron & Steel
Campus Activewear Limited,CAMPUS,Footwear
Indian Oil Corporation Limited,IOC,Refineries & Marketing
Zee Entertainment Enterprises Limited,ZEEL,TV Broadcasting & Software Production
Astral Limited,ASTRAL,Plastic Products - Industrial
Tata Technologies Limited,TATATECH,IT Enabled Services
Latent View Analytics Limited,LATENTVIEW,Computers - Software & Consulting
LT Foods Limited,LTFOODS,Other Agricultural Products
Tata Steel Limited,TATASTEEL,Iron & Steel
Welspun Corp Limited,WELCORP,Iron & Steel Products
Adani Power Limited,ADANIPOWER,Integrated Power Utilities
Jyoti CNC Automation Limited,JYOTICNC,Industrial Products
Shyam Metalics and Energy Limited,SHYAMMETL,Iron & Steel Products
Sapphire Foods India Limited,SAPPHIRE,Restaurants
Authum Investment & Infrastructure Limited,AIIL,Non Banking Financial Company (NBFC)
Sai Life Sciences Limited,SAILIFE,Pharmaceuticals
L&T Finance Limited,LTF,Investment Company
ICICI Bank Limited,ICICIBANK,Private Sector Bank
Jubilant Foodworks Limited,JUBLFOOD,Restaurants
GMR AIRPORTS LIMITED,GMRAIRPORT,Airport & Airport services
KPIT Technologies Limited,KPITTECH,Computers - Software & Consulting
Escorts Kubota Limited,ESCORTS,Tractors
Vodafone Idea Limited,IDEA,Telecom - Cellular & Fixed line services
Zydus Lifesciences Limited,ZYDUSLIFE,Pharmaceuticals
PCBL Chemical Limited,PCBL,Carbon Black
Inventurus Knowledge Solutions Limited,IKS,IT Enabled Services
Maruti Suzuki India Limited,MARUTI,Passenger Cars & Utility Vehicles
Wipro Limited,WIPRO,Computers - Software & Consulting
Aegis Logistics Limited,AEGISLOG,Trading - Gas
Apar Industries Limited,APARINDS,Other Electrical Equipment
Indiamart Intermesh Limited,INDIAMART,Internet & Catalogue Retail
Narayana Hrudayalaya Ltd.,NH,Hospital
Aditya Birla Sun Life AMC Limited,ABSLAMC,Asset Management Company
Biocon Limited,BIOCON,Pharmaceuticals
CRISIL Limited,CRISIL,Other Financial Services
Alembic Pharmaceuticals Limited,APLLTD,Pharmaceuticals
Voltas Limited,VOLTAS,Household Appliances
Yes Bank Limited,YESBANK,Private Sector Bank
Lloyds Metals And Energy Limited,LLOYDSME,Industrial Minerals
Lemon Tree Hotels Limited,LEMONTREE,Hotels & Resorts
Blue Star Limited,BLUESTARCO,Household Appliances
BSE Limited,BSE,Exchange and Data Platform
MRF Limited,MRF,Tyres & Rubber Products
Action Construction Equipment Limited,ACE,Construction Vehicles
Kalpataru Projects International Limited,KPIL,Civil Construction
Bajaj Finserv Limited,BAJAJFINSV,Holding Company
UTI Asset Management Company Limited,UTIAMC,Asset Management Company
V-Guard Industries Limited,VGUARD,Household Appliances
Max Healthcare Institute Limited,MAXHEALTH,Hospital
Hindustan Petroleum Corporation Limited,HINDPETRO,Refineries & Marketing
